3.环境BU,240300
C-中国气象局公服中心标准项目-王士宁,40289d9f5d2a5695015d738c60690dad
成都简阳水压监测项目,40289d9f60e843aa0160fd1ad46c05e0
基于视频的人脸微表情自动识别系统研制及其应用-预研,8a8481b34ce2729e014ce5c269760096
应急一张图——厦门公安项目,40289d9f5981549c015b5b2f5ea5411a
水体放射性核素在线监测仪器K034-1,40289d9f61bcf3c60162a42d7dcb16c8
国家气象局预警信息发布支撑与监控平台建设项目,40289d9f561033b60157bd1d68bd3508
基础GIS平台,8a8481b34e26e342014e294a4af50094
首都机场消防管网结冰预警项目,40289d9f60e843aa0160fd1fb63e05e1
生产安全事故应急救援调度指挥管理规范编制,40289d9f5981549c015b6b41f71e42ad
中央研究院行政事务管理,40289d9f5d824bc5015ebd1ba71f306f
国家气象局气象产品数据监控项目,40289d9f5981549c015bb368e1b25063
山东省应急平台体系标准规范建设,8a8481b3455c683501455eee9f34007d
国家卫生应急平台体系升级建设,40289d9f5981549c015ac5c512c02a3c
城市安全BG,400
【十三五课题】民政课题申请,40289d9f5efee4d9015f707b048b10a4
2.人防BU,400200
水体放射性核素在线监测仪器K034-8,40289d9f61bcf3c60162a42ed2bc16ca
应急管理内部教材编制,40289d9f62cc18150162cc5188e2012a
公司级管理,800
技术储备,40289d9f5efee4d9015f526ebebe0c3f
B-发改委地震资源需求模型-赵文文,40289d9f5981549c015aff641341325e
五棵松消防评估项目,2c90827052e7b61401538329b831083e
安全生产监管大数据支撑平台数据规范,40289d9f561033b60156da05e2191b42
智慧崇礼方案支持,40289d9f62cc18150162cc3ea34a0106
规委项目运维工作,40289d9f561033b60156e4b406e01c54
公司基础支撑环境运维,40289d9f5981549c015afa0271683178
UI相关工作,40289d9f61bcf3c601628e2d5e6e1568
技术共享平台,8a8481b34cfc326a014d323428520674
调休,8a8481b33fb293ff013fb296a3fa000a
【十三五课题】核与辐射课题申请,40289d9f62cc18150162cc879edc0157
市场BG,600
【十三五课题】冬奥会公共安全综合风险评估技术申请,40289d9f61bcf3c60162bd866e7a18ed
综合决策指挥辅助系统,40289d9f62cc1815016449343cb82839
大亚湾核电基地场内应急撤离专题,8a8481b34ce2729e014ce5cbba1b009e
十二五课题3预警项目,40289d9f5efee4d9015f4c7567d70b04
A-城市安全信息化技术研究-夏金超,40289d9f5981549c015aff3dfbb6324b
【十三五课题】城镇大型活动场所安全风险诊断技术与信息平台研发,40289d9f561033b60158945692d45b41
应急决策内部教材编制,40289d9f62cc18150162cc51f9ec012d
沙龙/讲座策划与组织,40289d9f61bcf3c60162bcdcda6718ce
北科委绿通课题申请,40289d9f5981549c015b1e7f18b737bd
首都机场T3E航站楼候机厅商业消防性能化评估复核,8a8481b34e69d5ed014e6d00ef8500b3
辰安标准体系架构设计,8a8481b34e6efc49014e7163e4440054
C-海关培训项目-孟岩,40289d9f5981549c015b6b41186642ac
公共安全产品示范应用研究申请,40289d9f62cc1815016449329dbe2837
【十三五课题】全海深全周期样品信息管理系统研发及应用示范,40289d9f62cc18150162fc2414090685
C-川气东送事故模型研发项目-李星锋,40289d9f5981549c015affbd3f3e3345
辰安公共安全新技术体验中心（小程序）,40289d9f62cc181501633815ff410c52
【十三五课题】物证鉴定课题项目,40289d9f5d824bc5015ecc5fbb073366
应急一张图,8a8481b34625403a014627cd61a40298
珠港澳大桥人工岛珠海口岸应急指挥平台,40289d9f61bcf3c60162a2ff59311662
公共安全与应急BG,240
澳门项目,40289d9f62cc18150162dd4ce74702a1
【十三五课题】国家安全风险管理关键技术研究与应用申请,40289d9f5efee4d901607c13a4c8375d
公司体系维护,40289d9f5981549c015b23086b263896
质量体系维护与推广&资质维护,40289d9f561033b60156de9b435a1b9f
【公司信息化系统建设】,2005001
【2017】ITSS运维资质项目,40289d9f5d2a5695015d3a0c475301da
B-十二五课题——城镇突发事件趋势分析与应急决策支持系统研发-李星锋,40289d9f5981549c015aff68864b3261
物资需求预测模型研发V1.0,40289d9f62cc1815016439e3b0ce271d
消防辅助决策系统,40289d9f5981549c015bf14608a5595d
【新技术在公共安全领域的应用研究】,2004003
TS-GIS V2.0.0,40289d9f5efee4d90160df6c2fb4464d
电力机器人领域标准体系构建方法研究,40289d9f561033b60158fc3415e56fb2
【十三五课题】仪器系统集成及工程化和产业化开发K037,40289d9f61bcf3c60162a344f386168f
B-合肥智慧经开区建设项目配套技术标准-张帆,40289d9f5981549c015aff65ade63260
2.集成研发部,200200
A-公司技术清单-孟岩,40289d9f5981549c015aff3e9362324c
【十三五课题】出入境安全事件推演决策与应急指挥调度技术申请,40289d9f61bcf3c60162bccf918518c5
天津滨海高新区应急平台项目二期,40289d9f62cc18150162cc5d29060142
城镇综合承灾能力评价系统研发与应用示范,40289d9f561033b601593f0ad6147d31
现场信息采集,40289d9f61bcf3c6016270f5146e123a
国家安全生产科技支撑综合基地---安全生产大数据,40289d9f5d2a5695015d405dea7d0355
【其他共性工作】,200900
北京文投集团文化创意合作前期沟通,40289d9f5efee4d90160111cdbeb27be
安全地图,8a8481b3490ad3fa01490d702d400067
完善CRM、ERP系统,40289d9f5981549c015afa01a0ba3177
【十三五课题】反恐处应急资源优化调度策略及技术系统研究,40289d9f62cc18150162fc2553bd0686
【十三五课题】绿色建筑课题项目,40289d9f5efee4d9015f4ceeef790b0d
【公司信息化基础设施建设】,2005002
周例会,8a8481b33fb293ff013fb2962ef80008
面向文本信息的情报处理及分析能力建设,4028944e54e623b60154e6fbad790007
【十三五课题】自动采集、富集、制样系统K034-1,40289d9f61bcf3c60162a31f74911682
1.东部大区,600100
湖北省安监局应急救援指挥中心标准规范建设,40289d9f561033b60158fc32f92a6fb1
A-我国公共安全政策现状及公共安全产业的研究报告-王士宁,40289d9f5981549c015aff3a8db73248
科技奥运解决方案,40289d9f5d2a5695015d4058425d0352
社会综合治理-前期规划,8a8481b34ce2729e014ce5c58be40098
【十三五课题】质检课题申请,40289d9f5efee4d9015f707a7f8c10a3
环保部省级核与辐射应急监测调度平台项目二期,8a8481b341a724dc0142d634145870fc
辰安数据汇V2.0.0,40289d9f5efee4d9015fd72540082004
B-危化品系列模型-李星锋,40289d9f5981549c015b6b40287842ab
外部支撑,40289d9f62cc1815016343fbfd3f0d7e
【公共安全关键技术研究】,2004001
空间政务大数据,40289d9f561033b601584750f6e24d4c
课题组织与实施管理,40289d9f61bcf3c60162bd87a19b18ee
A-地震系列模型产品化研发-赵文文,40289d9f5981549c015aff4bf75e3253
南京江北新区智慧城市建设运营规范编写,40289d9f62cc18150163aaa459db181a
混合现实,40289d9f61bcf3c60162bccceb4b18c1
4.北部大区,600400
应急知识管理系统,8a8481b341a724dc01421155352c26d5
应急体系和能力现代化研究申请,40289d9f62cc181501644933322e2838
语音识别,40289d9f62cc18150162d7e1a6d70262
宝丰县智慧城市,40289d9f5d824bc5015e5b1a8e531f3e
水环境污染快速识别与预警仪K037,40289d9f61bcf3c60162a4209e2116c4
国网质量基础体系及建设规划研究,2c908270517a03590151a9666e0402d0
天水剧场消防性能化评估,40289d9f5981549c015affc839cb335f
B-民政部减灾委标准项目-王士宁,40289d9f5981549c015aff4c910e3254
D-国家人防办课题申请-张宁,40289d9f5981549c015affc934963361
HY课题项目,40289d9f5981549c015b1e8a8b8237bf
125课题申请,8a8481b34d8217c2014db8c3faa807bc
技术交流会,8a8481b33fb293ff013fb29712f0000f
综合标准化及重要标准研究,8a8481b3455c683501455eef372e007e
无锡物联网,40289d9f62cc1815016458caeb442b44
大数据平台,40289d9f5efee4d9015ffc80889f25b2
中国电力科学研究院质量体系深化研究,40289d9f561033b60158fc3ba9896fb3
【标准研究】,2006001
【十三五课题】典型石化过程安全保障关键技术及装备研发申请,40289d9f61bcf3c60162bd840b9318ec
内部教材编制,800100
Z-协同创新中心秘书处工作-王舵,40289d9f5981549c015affcb28f43363
模型工程化实现,40289d9f61bcf3c60162bce1192318cf
A-公司模型规划-李志鹏,40289d9f5981549c015aff3fe229324e
模型售前支持,40289d9f60e843aa016122674a850c13
A-安监系列模型产品化研发-颜国强,40289d9f5981549c015aff3953533247
4.预警BU,240400
应急管理部顶层设计,40289d9f62cc18150163df2dbaa31ed6
海关总署预案培训班,8a8481b34e6efc49014e716339200053
【其他工作】,2004008
电力应急一张图,2c90827052e7b61401538330e096083f
其他,8a8481b34e982f2a014e9a70f87e0119
水污染溯源仪研发、生产,40289d9f61bcf3c60162a42a3b3216c7
模型研究,40289d9f61bcf3c60162bcc8203e18bf
国家卫计委卫生应急平台体系升级建设,40289d9f62cc18150162fbdb4d820672
C-\t国家电网公司技术标准战略深化研究-王大方,2c908270517a03590151a9619e4902cf
业务基础软件平台,8a8481b34625403a014627a7bfcb022a
危化品系列模型2.0,40289d9f60e843aa01612267b15d0c18
领导临时安排,8a8481b34792e3be0147968fd9ba002f
水污染预警溯源仪产品研发,40289d9f61bcf3c60162a4411dd916cb
重庆消防项目,40289d9f5efee4d9015f7079c17b10a2
智慧社会战略研究,40289d9f60e843aa01612268e0960c1b
国家气象局应急辅助决策系统项目,40289d9f5981549c015bb36024a15051
A-危化企业大数据业务分析-武海丽,40289d9f5efee4d9015f4cf2eb500b10
课题申请,8a8481b34d8217c2014db8c27fdf07ba
整理消防资质评审材料,8a8481b34ce2729e014ce5c3f0450097
1.平台产品部,200100
突发事件时空特征分析,40289d9f613ca961016163bf0df708c5
武汉市电子政务底图符号库标准化建库,8a8481b34d8217c2014ddc0e02a00c53
【已结项 勿使用】,200700
四川省环境应急管理精细化建设项目系统开发项目,8a8481b34ed5fb7a014f3e805b6a0ebb
中央研究院工作线任务推进,40289d9f60e843aa0160fd486ffb05e7
产品前期规划,40289d9f5d824bc5015e4b03dfbb1df2
面向任务的医疗船卫生资源配置研究,8a8481b34d8217c2014ddc0f1bef0c54
B-安监综合风险分析模型-赵文文,40289d9f5981549c015aff5302b73257
